image name,true label id,true label description,target label id,target label description
ILSVRC2012_val_00009916.JPEG,957,pomegranate,162,beagle
ILSVRC2012_val_00012589.JPEG,505,coffeepot,230,"Shetland sheepdog, Shetland sheep dog, Shetland"
ILSVRC2012_val_00009302.JPEG,595,"harvester, reaper",83,"prairie chicken, prairie grouse, prairie fowl"
ILSVRC2012_val_00037884.JPEG,876,"tub, vat",482,cassette player
ILSVRC2012_val_00032256.JPEG,915,yurt,917,comic book
ILSVRC2012_val_00030794.JPEG,989,"hip, rose hip, rosehip",832,"stupa, tope"
ILSVRC2012_val_00005030.JPEG,146,"albatross, mollymawk",707,"pay-phone, pay-station"
ILSVRC2012_val_00033018.JPEG,346,"water buffalo, water ox, Asiatic buffalo, Bubalus bubalis",506,"coil, spiral, volute, whorl, helix"
ILSVRC2012_val_00049345.JPEG,294,"brown bear, bruin, Ursus arctos",323,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus"
ILSVRC2012_val_00028723.JPEG,566,"French horn, horn",551,face powder
ILSVRC2012_val_00011787.JPEG,81,ptarmigan,800,"slot, one-armed bandit"
ILSVRC2012_val_00043640.JPEG,537,"dogsled, dog sled, dog sleigh",989,"hip, rose hip, rosehip"
ILSVRC2012_val_00045502.JPEG,5,"electric ray, crampfish, numbfish, torpedo",825,stone wall
ILSVRC2012_val_00003028.JPEG,454,"bookshop, bookstore, bookstall",434,bath towel
ILSVRC2012_val_00023085.JPEG,52,"thunder snake, worm snake, Carphophis amoenus",667,mortarboard
ILSVRC2012_val_00027487.JPEG,498,"cinema, movie theater, movie theatre, movie house, picture palace",745,projector
ILSVRC2012_val_00030285.JPEG,178,Weimaraner,478,carton
ILSVRC2012_val_00005975.JPEG,104,"wallaby, brush kangaroo",845,syringe
ILSVRC2012_val_00021619.JPEG,448,birdhouse,726,"plane, carpenter's plane, woodworking plane"
ILSVRC2012_val_00010669.JPEG,34,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea",865,toyshop
